2024-12-23 01:25:24,381 - Epoch 1/10, Loss: 1.7728, Train Acc: 0.2829
2024-12-23 01:25:35,315 - Epoch 2/10, Loss: 1.7336, Train Acc: 0.2955
2024-12-23 01:25:46,306 - Epoch 3/10, Loss: 1.7223, Train Acc: 0.3254
2024-12-23 01:25:57,328 - Epoch 4/10, Loss: 1.7144, Train Acc: 0.3154
2024-12-23 01:26:08,381 - Epoch 5/10, Loss: 1.6974, Train Acc: 0.3527
2024-12-23 01:26:19,759 - Epoch 6/10, Loss: 1.6981, Train Acc: 0.3464
2024-12-23 01:26:31,261 - Epoch 7/10, Loss: 1.6824, Train Acc: 0.3439
2024-12-23 01:26:42,796 - Epoch 8/10, Loss: 1.6805, Train Acc: 0.3734
2024-12-23 01:26:54,368 - Epoch 9/10, Loss: 1.6737, Train Acc: 0.3357
2024-12-23 01:27:05,932 - Epoch 10/10, Loss: 1.6890, Train Acc: 0.3491
2025-05-30 10:27:52,728 - |Epoch 1/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:00,327 - |Epoch 29/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:03,006 - |Epoch 30/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:05,762 - |Epoch 31/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:08,519 - |Epoch 32/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:11,258 - |Epoch 33/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:13,966 - |Epoch 34/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:16,791 - |Epoch 35/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:19,541 - |Epoch 36/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:22,290 - |Epoch 37/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:25,044 - |Epoch 38/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:27,773 - |Epoch 39/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
2025-05-30 10:29:30,499 - |Epoch 40/100 | T-Loss: 0.0000 | T-Acc: 0.0000 V-Loss: 15.2885 |V-Acc: 0.1759| T-f1: 0.0000 | V-f1: 0.0499 
